Tue May 30 15:33:59 2017    log_profile.txt

         54517750 function calls (54291806 primitive calls) in 33.988 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.008    0.008 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/tempfile.py:24(<module>)
     1094    0.006    0.000    0.008    0.000 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/weakref.py:101(__init__)
       10    0.000    0.000    0.008    0.001 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/matplotlib/axes/_base.py:1783(_update_patch_limits)
   406/20    0.002    0.000    0.008    0.000 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/pyparsing.py:1347(_parseNoCache)
        1    0.000    0.000    0.008    0.008 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/matplotlib/mathtext.py:16(<module>)
        1    0.000    0.000    0.008    0.008 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/numpy-1.11.2-py3.5-macosx-10.6-intel.egg/numpy/core/_internal.py:6(<module>)
   453/96    0.002    0.000    0.008    0.000 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/sre_compile.py:64(_compile)
     1344    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:68(_path_stat)
   112/20    0.001    0.000    0.007    0.000 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/pyparsing.py:3356(parseImpl)
        1    0.000    0.000    0.007    0.007 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/matplotlib/patches.py:3(<module>)
     1396    0.007    0.000    0.007    0.000 {built-in method posix.stat}
        1    0.000    0.000    0.007    0.007 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/shutil.py:5(<module>)
    30000    0.007    0.000    0.007    0.000 /Users/karo/Documents/Github/Pokerly/Game.py:54(__init__)
