Tue May 30 15:47:07 2017    log_profile.txt

         49575723 function calls (49349779 primitive calls) in 32.689 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1732    0.002    0.000    0.008    0.000 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/numpy-1.11.2-py3.5-macosx-10.6-intel.egg/numpy/core/fromnumeric.py:1900(any)
   112/20    0.001    0.000    0.008    0.000 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/pyparsing.py:3356(parseImpl)
     1091    0.002    0.000    0.008    0.000 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/matplotlib/transforms.py:86(__init__)
        1    0.000    0.000    0.008    0.008 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/email/utils.py:5(<module>)
       18    0.000    0.000    0.008    0.000 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/matplotlib/rcsetup.py:392(validate_font_properties)
       18    0.000    0.000    0.008    0.000 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/matplotlib/fontconfig_pattern.py:119(parse)
        1    0.000    0.000    0.008    0.008 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/matplotlib/mathtext.py:16(<module>)
     1344    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:68(_path_stat)
       96    0.000    0.000    0.008    0.000 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/matplotlib/lines.py:497(set_fillstyle)
   453/96    0.002    0.000    0.008    0.000 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/sre_compile.py:64(_compile)
     1396    0.008    0.000    0.008    0.000 {built-in method posix.stat}
        1    0.000    0.000    0.008    0.008 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/numpy-1.11.2-py3.5-macosx-10.6-intel.egg/numpy/core/_internal.py:6(<module>)
   148/60    0.000    0.000    0.008    0.000 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/matplotlib/axes/_base.py:627(get_xaxis_transform)
      294    0.002    0.000    0.007    0.000 <frozen importlib._bootstrap>:510(_init_module_attrs)
     3105    0.007    0.000    0.007    0.000 {built-in method numpy.core.multiarray.array}
        1    0.000    0.000    0.007    0.007 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/matplotlib/patches.py:3(<module>)
       48    0.000    0.000    0.007    0.000 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/matplotlib/patches.py:670(get_patch_transform)
       48    0.000    0.000    0.007    0.000 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/matplotlib/patches.py:654(_update_patch_transform)
       10    0.000    0.000    0.007    0.001 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/matplotlib/axes/_base.py:1783(_update_patch_limits)
      774    0.001    0.000    0.007    0.000 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/matplotlib/transforms.py:1640(__init__)
        1    0.000    0.000    0.007    0.007 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/matplotlib/__init__.py:967(rc_params)
        1    0.000    0.000    0.007    0.007 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/unittest/case.py:1(<module>)
      963    0.002    0.000    0.007    0.000 {built-in method builtins.any}
    30000    0.006    0.000    0.006    0.000 /Users/karo/Documents/Github/Pokerly/Game.py:57(__init__)
       28    0.000    0.000    0.006    0.000 /Library/Frameworks/Python.framework/Versions/3.5/lib/python3.5/site-packages/pyparsing.py:2738(__init__)
